ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
359,ALK tyrosine kinase receptor,ALK,2454168,U62540,Q9UM73,ALK_HUMAN,2KUP; 2KUQ; 2XB7; 2XBA; 2XP2; 2YFX; 2YHV; 2YJR; 2YJS; 2YS5; 2YT2; 3AOX; 3L9P; 3LCS; 3LCT; 4ANL; 4ANQ; 4ANS; 4CCB; 4CCU; 4CD0; 4CLI; 4CLJ; 4CMO; 4CMT; 4CMU; 4CNH; 4CTB; 4CTC; 4DCE; 4FNW; 4FNX; 4FNY; 4FNZ; 4FOB; 4FOC; 4FOD; 4JOA; 4MKC; 4TT7; 4Z55; 5A9U; 5AA8; 5AA9; 5AAA; 5AAB; 5AAC; 5FTO; 5FTQ; 5IMX; 5IUG; 5IUH; 5IUI; 5KZ0; 5VZ5; 6AT9; 6CDT; 6E0R; 6EBW; 6EDL; 6MX8; 7BTT; 7JY4; 7JYR; 7JYS; 7JYT; 7LRZ; 7LS0; 7MZW; 7MZY; 7N00; 7NWZ; 7NX3; 7NX4; 7R7K; 7R7R; 8ARJ,ALK,ALK,HGNC:427,Humans,DB08865; DB09063; DB11363; DB11986; DB12010; DB12130; DB12141; DB12267
360,All-trans-retinol dehydrogenase [NAD(+)] ADH4,ADH4,178121,M15943,P08319,ADH4_HUMAN,3COS,ADH4,ADH4,HGNC:252,Humans,DB00157
361,Monocarboxylate transporter 3,SLC16A8,6103363,AF132610,O95907,MOT3_HUMAN,,SLC16A8,SLC16A8,HGNC:16270,Humans,DB00119
363,"Tyrosine--tRNA ligase, mitochondrial",YARS2,4680649,AF132939,Q9Y2Z4,SYYM_HUMAN,2PID; 3ZXI,YARS2,YARS2,HGNC:24249,Humans,DB00135
364,Coagulation factor IX,F9,182609,K02402,P00740,FA9_HUMAN,1CFH; 1CFI; 1EDM; 1IXA; 1MGX; 1NL0; 1RFN; 2WPH; 2WPI; 2WPJ; 2WPK; 2WPL; 2WPM; 3KCG; 3LC3; 3LC5; 4WM0; 4WMA; 4WMB; 4WMI; 4WMK; 4WN2; 4WNH; 4YZU; 4Z0K; 4ZAE; 5EGM; 5F84; 5F85; 5F86; 5JB8; 5JB9; 5JBA; 5JBB; 5JBC; 5TNO; 5TNT; 5VYG; 6MV4; 6RFK; 6X5J; 6X5L; 6X5P; 7AHV; 8EPC; 8EPH; 8EPK; 8OL9,F9,F9,HGNC:3551,Humans,DB00025; DB00170; DB09109; DB09332; DB13150; DB13192; DB13923; DB13998; DB13999; DB14738; DB16662; DB16791
365,"Glutamate receptor ionotropic, NMDA 1",GRIN1,219920,D13515,Q05586,NMDZ1_HUMAN,2HQW; 2NR1; 3BYA; 5H8F; 5H8H; 5H8N; 5H8Q; 5I2K; 5I2N; 5KCJ; 5KDT; 5TP9; 5TPA; 6IRA; 6IRF; 6IRG; 6IRH; 7EOQ; 7EOR; 7EOS; 7EOT; 7EOU; 7EU7; 7EU8; 7YFF; 7YFL; 7YFM; 7YFO; 7YFR; 8E92; 8E93; 8E94; 8E96; 8E97; 8E98; 8E99; 8JIZ; 8JJ0; 8JJ1; 8JJ2; 8UUE,GRIN1,GRIN1,HGNC:4584,Humans,DB00128; DB00142; DB00260; DB00454; DB01043; DB01173; DB03929; DB06151
366,DNA gyrase subunit A,gyrA,1574722,L42023,P43700,GYRA_HAEIN,,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00218; DB00365; DB00467; DB00487; DB00537; DB00685; DB00827; DB00978; DB01059; DB01137; DB01155; DB01165; DB01208; DB06771; DB09047; DB12924
367,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,NDUFA8,5326825,AF044953,P51970,NDUA8_HUMAN,5XTC; 5XTD; 5XTH; 5XTI,NDUFA8,NDUFA8,HGNC:7692,Humans,DB00157
368,Prostaglandin E2 receptor EP2 subtype,PTGER2,632650,U19487,P43116,PE2R2_HUMAN,7CX2; 7CX3; 7CX4,PTGER2,PTGER2,HGNC:9594,Humans,DB00374; DB00688; DB00770; DB00917; DB00929; DB01088; DB08964; DB11629; DB12789; DB15071
369,Vascular endothelial growth factor receptor 2,KDR,2655412,AF035121,P35968,VGFR2_HUMAN,1VR2; 1Y6A; 1Y6B; 1YWN; 2M59; 2MET; 2MEU; 2OH4; 2P2H; 2P2I; 2QU5; 2QU6; 2RL5; 2X1W; 2X1X; 2XIR; 3B8Q; 3B8R; 3BE2; 3C7Q; 3CJF; 3CJG; 3CP9; 3CPB; 3CPC; 3DTW; 3EFL; 3EWH; 3KVQ; 3S35; 3S36; 3S37; 3U6J; 3V2A; 3V6B; 3VHE; 3VHK; 3VID; 3VNT; 3VO3; 3WZD; 3WZE; 4AG8; 4AGC; 4AGD; 4ASD; 4ASE; 5EW3; 5OYJ; 6GQO; 6GQP; 6GQQ; 6XVJ; 6XVK,KDR,KDR,HGNC:6307,Humans,DB00398; DB01268; DB05294; DB05578; DB06589; DB06595; DB06626; DB08875; DB08896; DB08901; DB09078; DB09079; DB11679; DB11800; DB11828; DB12010; DB12147; DB14840; DB15822
370,Riboflavin kinase,RFK,7023634,AK002011,Q969G6,RIFK_HUMAN,1NB0; 1NB9; 1P4M; 1Q9S,RFK,RFK,HGNC:30324,Humans,DB00140; DB03247
371,Ornithine decarboxylase antizyme 1,OAZ1,852429,U09202,P54368,OAZ1_HUMAN,4ZGY; 4ZGZ; 5BWA,OAZ1,OAZ1,HGNC:8095,Humans,DB00129
372,Glycine N-methyltransferase,GNMT,8671584,AF101477,Q14749,GNMT_HUMAN,1R74; 2AZT,GNMT,GNMT,HGNC:4415,Humans,DB00118; DB00145
373,Peroxisomal carnitine O-octanoyltransferase,CROT,6066280,AF168793,Q9UKG9,OCTC_HUMAN,,CROT,CROT,HGNC:2366,Humans,DB00583
374,Amidophosphoribosyltransferase,PPAT,219459,D13757,Q06203,PUR1_HUMAN,,PPAT,PPAT,HGNC:9238,Humans,DB00130; DB00993; DB01033; DB01254
375,Sodium- and chloride-dependent creatine transporter 1,SLC6A8,493132,L31409,P48029,SC6A8_HUMAN,,SLC6A8,SLC6A8,HGNC:11055,Humans,DB00148
376,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,NDUFB6,3800740,AF035840,O95139,NDUB6_HUMAN,5XTC; 5XTD; 5XTH; 5XTI,NDUFB6,NDUFB6,HGNC:7701,Humans,DB00157
377,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",HADH,1483511,X96752,Q16836,HCDH_HUMAN,1F0Y; 1F12; 1F14; 1F17; 1IL0; 1LSJ; 1LSO; 1M75; 1M76; 2HDH; 3HAD; 3RQS,HADH,HADH,HGNC:4799,Humans,DB00157; DB09568
378,Glutamate decarboxylase 1,GAD1,182936,M81883,Q99259,DCE1_HUMAN,2OKJ; 3VP6,GAD1,GAD1,HGNC:4092,Humans,DB00114; DB00142
379,Guided entry of tail-anchored proteins factor CAMLG,CAMLG,619670,U18242,P49069,CAMLG_HUMAN,6SO5; 8CR1,CAMLG,CAMLG,HGNC:1471,Humans,DB00091; DB11693
380,Vitamin K-dependent protein C,PROC,190334,M11228,P04070,PROC_HUMAN,1AUT; 1LQV; 3F6U; 3JTC; 4DT7; 6M3B; 6M3C; 8JRU; 8JRV,PROC,PROC,HGNC:9451,Humans,DB00170; DB00464; DB09131; DB09332; DB13149
381,Gamma-aminobutyric acid receptor subunit alpha-2,GABRA2,386422,S62907,P47869,GBRA2_HUMAN,,GABRA2,GABRA2,HGNC:4076,Humans,DB00241; DB00306; DB00312; DB00371; DB00402; DB00418; DB00425; DB00599; DB00794; DB00849; DB00898; DB01198; DB01205; DB01346; DB01351; DB01353; DB02530
382,"Dihydroorotate dehydrogenase (quinone), mitochondrial",DHODH,555594,M94065,Q02127,PYRD_HUMAN,1D3G; 1D3H; 2B0M; 2BXV; 2FPT; 2FPV; 2FPY; 2FQI; 2PRH; 2PRL; 2PRM; 2WV8; 3F1Q; 3FJ6; 3FJL; 3G0U; 3G0X; 3KVJ; 3KVK; 3KVL; 3KVM; 3U2O; 3W7R; 3ZWS; 3ZWT; 4IGH; 4JGD; 4JS3; 4JTS; 4JTT; 4JTU; 4LS0; 4LS1; 4LS2; 4OQV; 4RK8; 4RKA; 4RLI; 4RR4; 4YLW; 4ZL1; 4ZMG; 5H2Z; 5H73; 5HIN; 5HQE; 5K9C; 5K9D; 5MUT; 5MVC; 5MVD; 5TCE; 5ZF4; 5ZF7; 5ZF8; 5ZF9; 5ZFA; 5ZFB; 6CJF; 6CJG; 6ET4; 6FMD; 6GK0; 6IDJ; 6J3B; 6J3C; 6JMD; 6JME; 6LP6; 6LP7; 6LP8; 6LZL; 6M2B; 6OC0; 6OC1; 6QU7; 6SYP; 6VND; 7K2U; 7Z6C; 8DHF; 8DHG; 8DHH; 8K4F; 8RAK; 8VHL; 8VHM; 8YHR; 9BKM; 9BKN; 9BKO,DHODH,DHODH,HGNC:2867,Humans,DB01097; DB01117; DB03247; DB08880
383,"Aspartate aminotransferase, mitochondrial",GOT2,179104,M22632,P00505,AATM_HUMAN,5AX8; 8SKR,GOT2,GOT2,HGNC:4433,Humans,DB00114; DB00128; DB00142; DB00151
384,Substance-P receptor,TACR1,8176544,S62045,P25103,NK1R_HUMAN,2KS9; 2KSA; 2KSB; 6E59; 6HLL; 6HLO; 6HLP; 7P00; 7P02; 7RMG; 7RMH; 7RMI; 8U26,TACR1,TACR1,HGNC:11526,Humans,DB00193; DB00673; DB01037; DB01221; DB06717; DB09048; DB09291; DB14019
385,Interferon alpha/beta receptor 2,IFNAR2,995300,L42243,P48551,INAR2_HUMAN,1N6U; 1N6V; 2HYM; 2KZ1; 2LAG; 3S8W; 3S9D; 3SE3; 3SE4,IFNAR2,IFNAR2,HGNC:5433,Humans,DB00008; DB00011; DB00018; DB00022; DB00034; DB00060; DB00068; DB00069; DB00105; DB06152
386,Monocarboxylate transporter 6,SLC16A5,2463630,U59299,O15375,MOT6_HUMAN,,SLC16A5,SLC16A5,HGNC:10926,Humans,DB00119
387,Follicle-stimulating hormone receptor,FSHR,182771,M65085,P23945,FSHR_HUMAN,1XWD; 4AY9; 4MQW; 8I2G; 8I2H,FSHR,FSHR,HGNC:3969,Humans,DB00032; DB00066; DB00094; DB00097; DB09066
388,Serine racemase,SRR,11034785,AF169974,Q9GZT4,SRR_HUMAN,3L6B; 3L6R; 5X2L; 6SLH; 6ZSP; 6ZUJ; 7NBC; 7NBD; 7NBF; 7NBG; 7NBH,SRR,SRR,HGNC:14398,Humans,DB00114
389,D(4) dopamine receptor,DRD4,291946,L12398,P21917,DRD4_HUMAN,5WIU; 5WIV,DRD4,DRD4,HGNC:3025,Humans,DB00246; DB00248; DB00268; DB00320; DB00334; DB00363; DB00391; DB00408; DB00409; DB00413; DB00477; DB00490; DB00543; DB00589; DB00714; DB00875; DB00988; DB01186; DB01200; DB01224; DB01235; DB01238; DB01267; DB01403; DB04908; DB04946; DB05271; DB06216; DB11160; DB14185
390,Synaptosomal-associated protein 25,SNAP25,307426,L19760,P60880,SNP25_HUMAN,1KIL; 1XTG; 2N1T; 3DDA; 3DDB; 3RK2; 3RK3; 3RL0; 3ZUR; 5W7I; 5W7J; 6JLH; 8BAN; 8BAV,SNAP25,SNAP25,HGNC:11132,Humans,DB00083; DB16820; DB17929
391,Alpha-N-acetylglucosaminidase,NAGLU,1171229,U43572,P54802,ANAG_HUMAN,4XWH,NAGLU,NAGLU,HGNC:7632,Humans,DB00141
392,Kynureninase,KYNU,1323715,U57721,Q16719,KYNU_HUMAN,2HZP; 3E9K; 7S3V,KYNU,KYNU,HGNC:6469,Humans,DB00114
393,5-hydroxytryptamine receptor 2B,HTR2B,475198,X77307,P41595,5HT2B_HUMAN,4IB4; 4NC3; 5TUD; 5TVN; 6DRX; 6DRY; 6DRZ; 6DS0; 7SRQ; 7SRR; 7SRS,HTR2B,HTR2B,HGNC:5294,Humans,DB00247; DB00248; DB00315; DB00320; DB00353; DB00434; DB00508; DB00543; DB00574; DB00589; DB00696; DB00714; DB00715; DB00805; DB00924; DB01079; DB01142; DB01186; DB01200; DB01238; DB01242; DB01392; DB06016; DB06148; DB06153; DB06216; DB09128; DB09185; DB11274; DB13520
394,Neutrophil elastase,ELANE,296665,Y00477,P08246,ELNE_HUMAN,1B0F; 1H1B; 1HNE; 1PPF; 1PPG; 2RG3; 2Z7F; 3Q76; 3Q77; 4NZL; 4WVP; 5A09; 5A0A; 5A0B; 5A0C; 5A8X; 5A8Y; 5A8Z; 5ABW; 6E69; 6F5M; 6SMA; 7CBK; 7WHU; 8D4Q; 8D4U; 8D7I; 8D7K; 8G24; 8G25; 8G26; 9ASS; 9ASX; 9ATK; 9ATU,ELANE,ELA2,HGNC:3309,Humans,DB00058
395,Taste receptor type 1 member 2,TAS1R2,20142333,AF458154,Q8TE23,TS1R2_HUMAN,,TAS1R2,TAS1R2,HGNC:14905,Humans,DB02772
396,"Glutamate receptor ionotropic, NMDA 2D",GRIN2D,2444026,U77783,O15399,NMDE4_HUMAN,7YFF; 7YFL; 7YFM; 7YFO; 7YFR; 8E96,GRIN2D,GRIN2D,HGNC:4588,Humans,DB00142; DB00454; DB01173; DB06151
397,"Isovaleryl-CoA dehydrogenase, mitochondrial",IVD,306897,M34192,P26440,IVD_HUMAN,1IVH; 8SGR,IVD,IVD,HGNC:6186,Humans,DB03147
398,Envelope glycoprotein,gp41,62732120,AJ964940,Q53I07,Q53I07_9HIV1,,,,,Human immunodeficiency virus 1,DB00109
399,Ferritin heavy chain,FTH1,28435,X00318,P02794,FRIH_HUMAN,1FHA; 2CEI; 2CHI; 2CIH; 2CLU; 2CN6; 2CN7; 2FHA; 2IU2; 2Z6M; 3AJO; 3AJP; 3AJQ; 3ERZ; 3ES3; 4DYX; 4DYY; 4DYZ; 4DZ0; 4OYN; 4Y08; 4YKH; 4ZJK; 5CMQ; 5CMR; 5GN8; 5GOU; 5JKK; 5JKL; 5JKM; 5N26; 5N27; 5UP7; 5UP8; 5UP9; 5VTD; 5XB1; 5YI5; 5ZND; 6B8F; 6B8G; 6FTV; 6GSR; 6H5I; 6H6T; 6H6U; 6IPC; 6IPO; 6IPP; 6IPQ; 6J4A; 6J7G; 6JOB; 6JPS; 6KE2; 6KE4; 6M52; 6M54; 6WYF; 6WYG; 6WYH; 6Z6U; 6Z9E; 6Z9F; 7A6A; 7A6B; 7CK8; 7CK9; 7JGK; 7JGL; 7JGM; 7JGN; 7JGO; 7JGP; 7JGQ; 7K26; 7K3V; 7K3W; 7KE3; 7KE5; 7PF1; 7R5O; 7RRP; 7V66; 7VD8; 7ZG7; 8A2L; 8A2M; 8A5N; 8AAV; 8B7O; 8CPM; 8CPS; 8CPT; 8CPU; 8CPV; 8CPW; 8CPX; 8DHX; 8DNP; 8F49; 8F4L; 8HHS; 8J9L; 8J9M; 8JAI; 8KFD; 8PP2; 8PP3; 8PP5; 8QU9,FTH1,FTH1,HGNC:3976,Humans,DB00893; DB01592; DB13995; DB14488; DB14489; DB14490; DB14491; DB14501
400,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,ADH1B,178098,M24317,P00325,ADH1B_HUMAN,1DEH; 1HDX; 1HDY; 1HDZ; 1HSZ; 1HTB; 1U3U; 1U3V; 3HUD,ADH1B,ADH1B,HGNC:250,Humans,DB00157; DB01213; DB09462
401,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,NDUFA7,4164452,AF050637,O95182,NDUA7_HUMAN,5XTB; 5XTD; 5XTH; 5XTI,NDUFA7,NDUFA7,HGNC:7691,Humans,DB00157
402,Cholecystokinin receptor type A,CCKAR,306491,L13605,P32238,CCKAR_HUMAN,1D6G; 1HZN; 7EZH; 7EZK; 7EZM; 7F8U; 7F8X; 7F8Y; 7MBX; 7MBY; 7XOU; 7XOV; 9BKJ; 9BKK,CCKAR,CCKAR,HGNC:1570,Humans,DB00403; DB08862; DB09142
403,Vitamin K-dependent gamma-carboxylase,GGCX,184028,M81592,P38435,VKGC_HUMAN,,GGCX,GGCX,HGNC:4247,Humans,DB00100; DB00142; DB00170; DB01022; DB01125; DB09332; DB13152
404,Ornithine decarboxylase,ODC1,29893806,M16650,P11926,DCOR_HUMAN,1D7K; 2ON3; 2OO0; 4ZGY; 5BWA; 7S3F; 7S3G; 7U6P; 7U6U,ODC1,ODC1,HGNC:8109,Humans,DB00114; DB00203; DB00313; DB06243
405,Muscarinic acetylcholine receptor M4,CHRM4,61970253,M16405,P08173,ACM4_HUMAN,5DSG; 6D9H; 6KP6; 7LD3; 7LD4; 7TRK; 7TRP; 7TRQ; 7TRS; 7V68; 7V69; 7V6A; 8E9X; 8FX5; 8IYH; 8IYW; 8JER; 8JHN,CHRM4,CHRM4,HGNC:1953,Humans,DB00246; DB00334; DB00342; DB00363; DB00376; DB00387; DB00408; DB00411; DB00424; DB00458; DB00496; DB00572; DB00622; DB00725; DB00747; DB00809; DB00835; DB00934; DB00940; DB00986; DB01019; DB01036; DB01069; DB01085; DB01142; DB01151; DB01224; DB01231; DB01238; DB01239; DB01403; DB01409; DB01591; DB01625; DB03128; DB06702; DB06709; DB06787; DB08897; DB09076; DB09089; DB09167; DB09185; DB11181; DB11235; DB12278; DB13262; DB14185; DB15357
406,"Carnitine O-palmitoyltransferase 1, liver isoform",CPT1A,755646,L39211,P50416,CPT1A_HUMAN,2LE3,CPT1A,CPT1A,HGNC:2328,Humans,DB00583; DB01016; DB01074
407,S-adenosylmethionine synthase isoform type-1,MAT1A,220066,D49357,Q00266,METK1_HUMAN,2OBV; 6SW5; 6SW6; 8SWA,MAT1A,MAT1A,HGNC:6903,Humans,DB00118
408,Peroxisomal multifunctional enzyme type 2,HSD17B4,1050517,X87176,P51659,DHB4_HUMAN,1IKT; 1S9C; 1ZBQ; 6Z1W; 6Z1X; 8AF2; 8AF3,HSD17B4,HSD17B4,HGNC:5213,Humans,DB00157
409,"5-aminolevulinate synthase, non-specific, mitochondrial",ALAS1,28583,X56351,P13196,HEM1_HUMAN,,ALAS1,ALAS1,HGNC:396,Humans,DB00114; DB00145; DB03404; DB15066
410,"Creatine kinase S-type, mitochondrial",CKMT2,338237,J05401,P17540,KCRS_HUMAN,4Z9M,CKMT2,CKMT2,HGNC:1996,Humans,DB00148
411,Neuronal acetylcholine receptor subunit alpha-10,CHRNA10,12053839,AJ278118,Q9GZZ6,ACH10_HUMAN,,CHRNA10,CHRNA10,HGNC:13800,Humans,DB00184; DB00898; DB01090; DB01116; DB14783
412,Retinoic acid receptor RXR-alpha,RXRA,35885,X52773,P19793,RXRA_HUMAN,1BY4; 1DSZ; 1FBY; 1FM6; 1FM9; 1G1U; 1G5Y; 1K74; 1MV9; 1MVC; 1MZN; 1R0N; 1RDT; 1RXR; 1XLS; 1XV9; 1XVP; 1YNW; 2ACL; 2NLL; 2P1T; 2P1U; 2P1V; 2ZXZ; 2ZY0; 3DZU; 3DZY; 3E00; 3E94; 3FAL; 3FC6; 3FUG; 3H0A; 3KWY; 3NSP; 3NSQ; 3OAP; 3OZJ; 3PCU; 3R29; 3R2A; 3R5M; 3UVV; 4CN2; 4CN3; 4CN5; 4CN7; 4J5W; 4J5X; 4K4J; 4K6I; 4M8E; 4M8H; 4N5G; 4N8R; 4NQA; 4OC7; 4POH; 4POJ; 4PP3; 4PP5; 4RFW; 4RMC; 4RMD; 4RME; 4ZO1; 4ZSH; 5EC9; 5JI0; 5LYQ; 5MJ5; 5MK4; 5MKJ; 5MKU; 5MMW; 5TBP; 5UAN; 5Z12; 5ZQU; 6A5Y; 6A5Z; 6A60; 6FBQ; 6FBR; 6HN6; 6JNO; 6JNR; 6L6K; 6LB4; 6LB5; 6LB6; 6SJM; 6STI; 6XWG; 6XWH; 7A77; 7B88; 7B9O; 7BK4; 7CFO; 7NKE; 7UW2; 7UW4; 8HBM; 8PP0,RXRA,RXRA,HGNC:10477,Humans,DB00132; DB00210; DB00307; DB00412; DB00459; DB00523; DB00749; DB00755; DB01393; DB01436; DB03756; DB04224
414,Glycine receptor subunit alpha-3,GLRA3,3342792,AF017724,O75311,GLRA3_HUMAN,5CFB; 5TIN; 5TIO; 5VDH; 5VDI,GLRA3,GLRA3,HGNC:4328,Humans,DB00145; DB00431; DB01956; DB09061
415,Intermediate conductance calcium-activated potassium channel protein 4,KCNN4,2584866,AF000972,O15554,KCNN4_HUMAN,6CNM; 6CNN; 6CNO; 6D42,KCNN4,KCNN4,HGNC:6293,Humans,DB00257; DB00468; DB01159
416,Interleukin-11 receptor subunit alpha,IL11RA,995654,Z38102,Q14626,I11RA_HUMAN,6O4P; 8DPS; 8DPT; 8DPU; 8QY4,IL11RA,IL11RA,HGNC:5967,Humans,DB00038
417,"Glutamate receptor ionotropic, NMDA 2B",GRIN2B,1899202,U90278,Q13224,NMDE2_HUMAN,5EWJ; 5EWL; 5EWM; 7EU8; 7KL0; 7KL1; 7KL2; 7UIS; 7UJP; 7UJQ; 7UJR; 7UJS; 7UJT,GRIN2B,GRIN2B,HGNC:4586,Humans,DB00128; DB00142; DB00454; DB00502; DB00949; DB01956; DB06151; DB11823
419,Solute carrier family 12 member 3,SLC12A3,1172161,U44128,P55017,S12A3_HUMAN,7Y6I; 7YG0; 7YG1; 8FHN; 8FHO; 8FHP; 8FHQ; 8FHR; 8FHT,SLC12A3,SLC12A3,HGNC:10912,Humans,DB00436; DB00524; DB00562; DB00808; DB00880; DB00999; DB01021; DB01324; DB01325
420,Delta-type opioid receptor,OPRD1,27545517,U07882,P41143,OPRD_HUMAN,4N6H; 4RWA; 4RWD; 6PT2; 6PT3; 8F7S,OPRD1,OPRD1,HGNC:8153,Humans,DB00193; DB00295; DB00318; DB00321; DB00327; DB00333; DB00497; DB00514; DB00611; DB00647; DB00704; DB00708; DB00813; DB00836; DB00844; DB00854; DB00899; DB00921; DB00956; DB01081; DB01183; DB01192; DB01221; DB01238; DB01452; DB06204; DB06230; DB06274; DB06288; DB09061; DB09099; DB09209; DB09272; DB11130; DB11691; DB12543
421,Cytochrome P450 4A11,CYP4A11,181397,L04751,Q02928,CP4AB_HUMAN,,CYP4A11,CYP4A11,HGNC:2642,Humans,DB00157
422,Annexin A1,ANXA1,12654863,BC001275,P04083,ANXA1_HUMAN,1AIN; 1BO9; 1QLS; 5VFW,ANXA1,ANXA1,HGNC:533,Humans,DB00288; DB00591; DB00741; DB00959; DB01013; DB01222; DB01234; DB01380; DB06781; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544; DB14631; DB14649; DB14669
424,"Ornithine aminotransferase, mitochondrial",OAT,189329,M12267,P04181,OAT_HUMAN,1GBN; 1OAT; 2BYJ; 2BYL; 2CAN; 2OAT; 5VWO; 6HX7; 6OIA; 6V8C; 6V8D; 7JX9; 7LK0; 7LK1; 7LNM; 7LOM; 7LON; 7T9Z; 7TA0; 7TA1; 7TED; 7TEV; 7TFP; 8EZ1; 8V9M,OAT,OAT,HGNC:8091,Humans,DB00114; DB00129
425,L-lactate dehydrogenase A chain,LDHA,34313,X02152,P00338,LDHA_HUMAN,1I10; 4AJP; 4JNK; 4L4R; 4L4S; 4M49; 4OJN; 4OKN; 4QO7; 4QO8; 4QSM; 4QT0; 4R68; 4R69; 4RLS; 4ZVV; 5IXS; 5IXY; 5W8H; 5W8I; 5W8J; 5W8K; 5W8L; 5ZJD; 5ZJE; 5ZJF; 6BAD; 6BAG; 6BAX; 6BAZ; 6BB0; 6BB1; 6BB2; 6BB3; 6MV8; 6MVA; 6Q0D; 6Q13; 6SBU; 6SBV; 6ZZR; 7M2N; 8FW6; 9BK2; 9BK3,LDHA,LDHA,HGNC:6535,Humans,DB00157; DB02701; DB09118; DB09130; DB11638; DB17635
426,Acetylcholinesterase,ACHE,177975,M55040,P22303,ACES_HUMAN,1B41; 1F8U; 1VZJ; 2X8B; 3LII; 4BDT; 4EY4; 4EY5; 4EY6; 4EY7; 4EY8; 4M0E; 4M0F; 4PQE; 5FOQ; 5FPQ; 5HF5; 5HF6; 5HF8; 5HF9; 5HFA; 5HQ3; 6CQT; 6CQU; 6CQV; 6CQW; 6CQX; 6CQY; 6CQZ; 6F25; 6NEA; 6NTG; 6NTH; 6NTK; 6NTL; 6NTM; 6NTN; 6NTO; 6O4W; 6O4X; 6O50; 6O52; 6O5R; 6O5S; 6O5V; 6O66; 6O69; 6U34; 6U37; 6U3P; 6WUV; 6WUY; 6WUZ; 6WV1; 6WVC; 6WVO; 6WVP; 6WVQ; 6ZWE; 7D9O; 7D9P; 7D9Q; 7E3D; 7E3H; 7RB5; 7RB6; 7RB7; 7XN1; 8AEN; 8AEV; 8DT2; 8DT4; 8DT5; 8DT7,ACHE,ACHE,HGNC:108,Humans,DB00122; DB00382; DB00449; DB00483; DB00545; DB00674; DB00677; DB00733; DB00772; DB00805; DB00843; DB00863; DB00898; DB00944; DB00981; DB00989; DB01010; DB01057; DB01122; DB01199; DB01245; DB01400; DB04864; DB13503; DB14006; DB19353
427,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",NDUFB2,4164454,AF050639,O95178,NDUB2_HUMAN,5XTC; 5XTD; 5XTH; 5XTI,NDUFB2,NDUFB2,HGNC:7697,Humans,DB00157
428,RAC-alpha serine/threonine-protein kinase,AKT1,190828,M63167,P31749,AKT1_HUMAN,1H10; 1UNP; 1UNQ; 1UNR; 2UVM; 2UZR; 2UZS; 3CQU; 3CQW; 3MV5; 3MVH; 3O96; 3OCB; 3OW4; 3QKK; 3QKL; 3QKM; 4EJN; 4EKK; 4EKL; 4GV1; 5KCV; 6BUU; 6CCY; 6HHF; 6HHG; 6HHH; 6HHI; 6HHJ; 6NPZ; 6S9W; 6S9X; 7APJ; 7MYX; 7NH4; 7NH5; 8JOW; 8UVY; 8UW2; 8UW7; 8UW9,AKT1,AKT1,HGNC:391,Humans,DB01169; DB12218
429,DNA topoisomerase 4 subunit A,parC,1574370,L42023,P43702,PARC_HAEIN,,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00218; DB00365; DB00467; DB00487; DB00537; DB00685; DB00978; DB01059; DB01137; DB01155; DB01165; DB01208; DB06771; DB09047
430,Voltage-dependent L-type calcium channel subunit alpha-1C,CACNA1C,,M92270,Q13936,CAC1C_HUMAN,1T0J; 2BE6; 2F3Y; 2F3Z; 2LQC; 3G43; 3OXQ; 5V2P; 5V2Q; 6C0A; 6DAD; 6DAE; 6DAF; 6U39; 6U3A; 6U3B; 6U3D; 7L8V; 8EOG; 8EOI; 8FD7; 8FHS; 8WE6; 8WE7; 8WE8; 8WE9; 8WEA,CACNA1C,CACNA1C,HGNC:1390,Humans,DB00270; DB00308; DB00343; DB00381; DB00393; DB00401; DB00568; DB00622; DB00661; DB00898; DB01023; DB01054; DB01115; DB04855; DB04920; DB06712; DB09237; DB09238; DB11633; DB12278
431,Calcitonin receptor,CALCR,179880,L00587,P30988,CALCR_HUMAN,5II0; 5UZ7; 6NIY; 6PFO; 6PGQ; 7TYF; 7TYH; 7TYI; 7TYL; 7TYN; 7TYO; 7TYW; 7TYX; 7TYY; 7TZF; 8F0J; 8F0K; 8F2A; 8F2B; 9AUC,CALCR,CALCR,HGNC:1440,Humans,DB00017; DB01278
433,Glycine receptor subunit alpha-1,GLRA1,31851,X52009,P23415,GLRA1_HUMAN,1MOT; 1VRY; 2M6B; 2M6I; 4X5T; 8DN2; 8DN3; 8DN4; 8DN5,GLRA1,GLRA1,HGNC:4326,Humans,DB00145; DB00228; DB00431; DB00572; DB00753; DB00898; DB01028; DB01159; DB01189; DB01236; DB01381; DB01593; DB01956; DB03929; DB09061; DB09130; DB14487; DB14533; DB14548
